offset,int1,int2,float1,float2,byte1,byte2,int3,int4,float3,int1_minus_int4,byte1_equals_byte2
0x02F780,4387500,21135360,9.4039548065783e-38,-4.0389678347315804e-28,0,0,67108864,692253846,3.57227776654069e-38,-687866346,True
0x02F7E0,2353199921,21132260,9.4039548065783e-38,-4.0389678347315804e-28,0,0,989855744,1581448201,3.571411203570352e-38,771751720,True
0x02FA40,33554432,2516582400,3.76158192263132e-37,-32768.0,187,252,21131472,16777216,1.6543612251060552e-24,16777216,False
0x02FA60,1761607680,704643585,1.1398521015948404e-13,131440.0,0,0,167772159,1577058326,9.405135260404647e-38,184549354,True
0x02FB00,3338665984,1145240763,3.571311150859999e-38,2.350988701644575e-38,0,0,50331648,4278190082,,-939524098,True
0x02FB20,1426063360,2873240309,-8.979903218874476e+20,9.405138623520962e-38,0,0,50331648,3338665984,779.9489135742188,-1912602624,True
0x02FBC0,335544320,0,2.8421716206667585e-14,-1.7014162967348047e+38,0,0,4336128,1715646208,9.405143107676048e-38,-1380101888,True
0x02FC40,2516582400,50331648,-32768.0,779.9489135742188,208,112,33554432,2214592512,3.76158192263132e-37,301989888,False
0x02FC60,3338665984,1145240763,3.571311150859999e-38,2.350988701644575e-38,0,0,0,671088642,-1.7014162967348047e+38,2667577342,True
0x02FC80,0,4336128,-856193140523008.0,9.405146470792362e-38,0,0,50331648,3338665984,779.9489135742188,-3338665984,True
